Id,FromAddress,ToAddress,Speed, Type,PermitDirection
101,48278,24223,1000,Horizontal,Forward
102,24223,18318,1000,Horizontal,Forward
103,18318,20001,1000,Horizontal,Forward
104,20001,20002,1000,Horizontal,Forward
105,20002,20003,1000,Horizontal,Forward
106,20003,20004,1000,Horizontal,Forward
107,20004,20005,1000,Horizontal,Forward
108,20005,20006,1000,Horizontal,Forward
109,20006,20007,1000,Horizontal,Forward
110,20007,20008,1000,Horizontal,Forward
111,20008,20009,1000,Horizontal,Forward
112,20009,20010,1000,Horizontal,Forward
113,20010,20311,1000,Horizontal,Forward
114,20311,20312,1000,Horizontal,Forward
121,24224,48243,1000,Horizontal,Forward
201,48243,24244,1000,Horizontal,Forward
202,24244,18319,1000,Horizontal,Forward
203,18319,24308,1000,Horizontal,Forward
204,24308,48245,1000,Horizontal,Forward
301,48245,24246,1000,Horizontal,Forward
302,24246,48247,1000,Horizontal,Forward
401,48247,24304,1000,Horizontal,Forward
402,24304,48248,1000,Horizontal,Forward
501,48248,24249,1000,Horizontal,Forward
502,24249,56250,1000,Horizontal,Forward
601,48247,24279,1000,Horizontal,Forward
602,24279,20280,1000,Horizontal,Forward
603,20280,20281,1000,Horizontal,Forward
604,20281,20282,1000,Horizontal,Forward
605,20282,20283,1000,Horizontal,Forward
606,20283,24284,1000,Horizontal,Forward
607,24284,56250,1000,Horizontal,Forward
701,56250,56251,1000,Horizontal,Forward
801,56251,24252,1000,Horizontal,Forward
802,24252,48253,1000,Horizontal,Forward
901,48253,24254,1000,Horizontal,Forward
902,24254,48255,1000,Horizontal,Forward
1001,56251,24285,1000,Horizontal,Forward
1002,24285,20286,1000,Horizontal,Forward
1003,20286,20287,1000,Horizontal,Forward
1004,20287,20288,1000,Horizontal,Forward
1005,20288,20289,1000,Horizontal,Forward
1006,20289,24290,1000,Horizontal,Forward
1007,24290,48255,1000,Horizontal,Forward
1101,48255,24256,1000,Horizontal,Forward
1102,24256,48257,1000,Horizontal,Forward
1201,48257,18329,1000,Horizontal,Forward
1202,18329,48258,1000,Horizontal,Forward
1301,48255,24291,1000,Horizontal,Forward
1302,24291,20292,1000,Horizontal,Forward
1303,20292,20293,1000,Horizontal,Forward
1304,20293,24294,1000,Horizontal,Forward
1305,24294,48258,1000,Horizontal,Forward
1401,48258,24242,1000,Horizontal,Forward
1402,24242,20198,1000,Horizontal,Forward
1403,20198,20199,1000,Horizontal,Forward
1404,20199,20200,1000,Horizontal,Forward
