PORT_ID,ADR_ID,GROUP_ID
MFSTK600T4,10459,STK600_B
MFSTK600T5,10458,STK600_B
MFSTK600T6,10485,STK600_B
MFSTK600T7,10484,STK600_B
MFSTK600T8,20302,STK600_A
MFSTK600T9,20301,STK600_A
MFSTK600TA,20300,STK600_A
MFSTK600TB,20298,STK600_A
MFSTK300S1,20289,STK300_B
MFSTK300S2,20288,STK300_B
MFSTK300S3,20287,STK300_B
MFSTK300S4,20286,STK300_B
MFSTK300S5,20283,STK300_A
MFSTK300S6,20282,STK300_A
MFSTK300S7,20281,STK300_A
MFSTK300S8,20280,STK300_A
MFAPI100A1,20221,Bay1
MFAPI100A2,20220,Bay1
MFAPI100A3,20219,Bay1
MFAPI100A4,20218,Bay1
MFAPI100A5,20217,Bay1
MFAPI200A6,20216,Bay1
MFAPI200A7,20215,Bay1
MFAPI200A8,20214,Bay1
MFAPI200A9,20213,Bay1
MFAPI200AA,20212,Bay1
MFAPI300AB,20211,Bay1
MFAPI300AC,20210,Bay1
MFAPI300AD,20209,Bay1
MFAPI300AE,20208,Bay1
MFAPI300AF,20207,Bay1
MFAPI400AG,20206,Bay1
MFAPI400AH,20205,Bay1
MFAPI400AJ,20204,Bay1
MFAPI400AK,20203,Bay1
MFAPI400AL,20202,Bay1
MFRAG100AM,20201,Bay1
MFRAG100AN,20200,Bay1
MFRAG100AP,20199,Bay1
MFRAG100AQ,20198,Bay1
MFSOR100AR,20197,Bay3
MFSOR100AS,20196,Bay3
MFSOR100AT,20195,Bay3
MFSOR100AU,20194,Bay3
MFSOR100AV,20193,Bay3
MFSOR100AW,20192,Bay3
MFSOR100AX,20191,Bay3
MFSOR100AY,20190,Bay3
MFSOR100AZ,20189,Bay3
MFSOR400B1,20188,Bay3
MFSOR400B2,20187,Bay3
MFSOR400B3,20186,Bay3
MFSOR400B4,20185,Bay3
MFSOR400B5,20184,Bay3
MFSOR400B6,20183,Bay3
MFSOR400B7,20182,Bay3
MFSOR400B8,20181,Bay3
MFSOR400B9,20180,Bay3
MFNRP800BA,20179,Bay3
MFNRP800BB,20178,Bay3
MFNRP800BC,20177,Bay3
MFNRP800BD,20176,Bay3
MFNRP900BE,20175,Bay3
MFNRP900BF,20174,Bay3
MFNRP900BG,20173,Bay3
MFNRP900BH,20172,Bay3
MFNRPA00BJ,20171,Bay3
MFNRPA00BK,20170,Bay3
MFNRPA00BL,20169,Bay3
MFNRPA00BM,20168,Bay3
MFRWTC00BN,20167,Bay4
MFRWTC00BP,20166,Bay4
MFRWTC00BQ,20165,Bay4
MFRWTC00BR,20164,Bay4
MFRWTC00BS,20163,Bay4
MFRWTB00BT,20162,Bay4
MFRWTB00BU,20161,Bay4
MFRWTB00BV,20160,Bay4
MFRWTB00BW,20159,Bay4
MFRWTB00BX,20158,Bay4
MFRWT300BY,20157,Bay4
MFRWT300BZ,20156,Bay4
MFRWT300C1,20155,Bay4
MFRWT300C2,20154,Bay4
MFRWT300C3,20153,Bay4
MFRWT200C4,20152,Bay4
MFRWT200C5,20151,Bay4
MFRWT200C6,20150,Bay4
MFRWT200C7,20149,Bay4
MFRWT200C8,20148,Bay4
MFRWT100C9,20147,Bay4
MFRWT100CA,20146,Bay4
MFRWT100CB,20145,Bay4
MFRWT100CC,20144,Bay4
MFRWT100CD,20143,Bay4
MFSOR200CE,20142,Bay5
MFSOR200CF,20141,Bay5
MFSOR200CG,20140,Bay5
MFSOR200CH,20139,Bay5
MFSOR200CJ,20138,Bay5
MFSOR200CK,20137,Bay5
MFSOR200CL,20136,Bay5
MFSOR200CM,20135,Bay5
MFSOR200CN,20134,Bay5
MFSOR300CP,20133,Bay5
MFSOR300CQ,20132,Bay5
MFSOR300CR,20131,Bay5
MFSOR300CS,20130,Bay5
MFSOR300CT,20129,Bay5
MFSOR300CU,20128,Bay5
MFSOR300CV,20127,Bay5
MFSOR300CW,20126,Bay5
MFSOR300CX,20125,Bay5
MFNRPB00CY,20124,Bay5
MFNRPB00CZ,20123,Bay5
MFNRPB00D1,20122,Bay5
MFNRPB00D2,20121,Bay5
MFNRPC00D3,20120,Bay5
MFNRPC00D4,20119,Bay5
MFNRPC00D5,20118,Bay5
MFNRPC00D6,20117,Bay5
MFNRPD00D7,20116,Bay5
MFNRPD00D8,20115,Bay5
MFNRPD00D9,20114,Bay5
