"Id","PositionX","PositionY","IsWorkStation","CanLeftLoad","CanLeftUnload","CanRightLoad","CanRightUnload","IsCharger","CouplerId","ChargeDirection","IsSegmentPoint","CanSpin","PioDirection","IsTR50","InsideSectionId","OffsetX","OffsetY","OffsetTheta","VehicleHeadAngle"
"10453","95316","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10454","92004","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"20275","91794","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"20276","91554","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"24277","90894","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"48278","88404","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10455","85974","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10456","83361","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10470","82551","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10444","81771","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10039","78201","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10040","76194","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10483","74814","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10041","74304","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10493","72369","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10042","70099","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10043","68959","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10044","63769","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10045","61519","1400","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
