Id,FromAddress,ToAddress,Speed, Type,PermitDirection
00101,48278,24223,1000,Horizontal,Forward
00102,24223,20001,1000,Horizontal,Forward
00103,20001,20002,1000,Horizontal,Forward
00104,20002,20003,1000,Horizontal,Forward
00105,20003,20004,1000,Horizontal,Forward
00106,20004,20005,1000,Horizontal,Forward
00107,20005,20006,1000,Horizontal,Forward
00108,20006,20007,1000,Horizontal,Forward
00109,20007,20008,1000,Horizontal,Forward
00110,20008,20009,1000,Horizontal,Forward
00112,20009,20010,1000,Horizontal,Forward
00113,20010,20311,1000,Horizontal,Forward
00114,20311,20312,1000,Horizontal,Forward
00115,20312,18313,1000,Horizontal,Forward
00116,18313,18314,1000,Horizontal,Forward
00117,18314,24224,1000,Horizontal,Forward
00118,24224,48243,1000,Horizontal,Forward
00201,48243,24244,1000,Horizontal,Forward
00202,24244,18319,1000,Horizontal,Forward
00203,18319,24308,1000,Horizontal,Forward
00204,24308,48245,1000,Horizontal,Forward
00301,48245,24246,1000,Horizontal,Forward
00302,24246,48247,1000,Horizontal,Forward
00401,48247,24304,1000,Horizontal,Forward
00402,24304,48248,1000,Horizontal,Forward
00501,48248,24249,1000,Horizontal,Forward
00502,24249,56250,1000,Horizontal,Forward
00601,48247,24279,1000,Horizontal,Forward
00602,24279,20280,1000,Horizontal,Forward
00603,20280,20281,1000,Horizontal,Forward
00604,20281,20282,1000,Horizontal,Forward
00605,20282,20283,1000,Horizontal,Forward
00606,20283,24284,1000,Horizontal,Forward
00607,24284,56250,1000,Horizontal,Forward
00701,56250,56251,1000,Horizontal,Forward
00801,56251,24252,1000,Horizontal,Forward
00802,24252,48253,1000,Horizontal,Forward
00901,48253,24254,1000,Horizontal,Forward
00902,24254,48255,1000,Horizontal,Forward
01001,56251,24285,1000,Horizontal,Forward
01002,24285,20286,1000,Horizontal,Forward
01003,20286,20287,1000,Horizontal,Forward
01004,20287,20288,1000,Horizontal,Forward
01005,20288,20289,1000,Horizontal,Forward
01006,20289,24290,1000,Horizontal,Forward
01007,24290,48255,1000,Horizontal,Forward
01101,48255,24256,1000,Horizontal,Forward
01102,24256,48257,1000,Horizontal,Forward
01201,48257,18329,1000,Horizontal,Forward
01202,18329,48258,1000,Horizontal,Forward
01301,48255,24291,1000,Horizontal,Forward
01302,24291,20292,1000,Horizontal,Forward
01303,20292,20293,1000,Horizontal,Forward
01304,20293,24294,1000,Horizontal,Forward
01305,24294,48258,1000,Horizontal,Forward
01401,48258,24242,1000,Horizontal,Forward
01402,24242,20198,1000,Horizontal,Forward
01403,20198,20199,1000,Horizontal,Forward
01404,20199,20200,1000,Horizontal,Forward
01405,20200,20201,1000,Horizontal,Forward
01406,20201,20202,1000,Horizontal,Forward
01407,20202,20203,1000,Horizontal,Forward
01408,20203,20204,1000,Horizontal,Forward
01409,20204,20205,1000,Horizontal,Forward
01410,20205,20206,1000,Horizontal,Forward
01411,20206,20207,1000,Horizontal,Forward
01412,20207,20208,1000,Horizontal,Forward
01413,20208,20209,1000,Horizontal,Forward
01414,20209,20210,1000,Horizontal,Forward
01415,20210,20211,1000,Horizontal,Forward
01416,20211,20212,1000,Horizontal,Forward
01417,20212,20213,1000,Horizontal,Forward
01418,20213,20214,1000,Horizontal,Forward
01419,20214,20215,1000,Horizontal,Forward
01420,20215,20216,1000,Horizontal,Forward
01421,20216,20217,1000,Horizontal,Forward
01422,20217,20218,1000,Horizontal,Forward
01423,20218,20219,1000,Horizontal,Forward
01424,20219,20220,1000,Horizontal,Forward
01425,20220,20221,1000,Horizontal,Forward
01426,20221,24241,1000,Horizontal,Forward
01427,24241,18330,1000,Horizontal,Forward
01428,18330,48259,1000,Horizontal,Forward
01501,48259,24260,1000,Horizontal,Forward
01502,24260,24261,1000,Horizontal,Forward
01503,24261,48262,1000,Horizontal,Forward
01601,48262,24263,1000,Horizontal,Forward
01602,24263,24264,1000,Horizontal,Forward
01603,24264,48265,1000,Horizontal,Forward
01701,48265,18328,1000,Horizontal,Forward
01702,18328,48266,1000,Horizontal,Forward
01801,48266,24267,1000,Horizontal,Forward
01802,24267,56268,1000,Horizontal,Forward
01901,48265,18327,1000,Horizontal,Forward
01902,24295,20296,1000,Horizontal,Forward
01903,20296,24297,1000,Horizontal,Forward
01904,24297,56268,1000,Horizontal,Forward
01991,18327,24295,1000,Horizontal,Forward
02001,56268,56269,1000,Horizontal,Forward
02101,56269,24270,1000,Horizontal,Forward
02102,24270,48271,1000,Horizontal,Forward
02201,48271,24272,1000,Horizontal,Forward
02202,24272,48273,1000,Horizontal,Forward
02301,56269,24324,1000,Horizontal,Forward
02302,20298,24299,1000,Horizontal,Forward
02303,24299,20300,1000,Horizontal,Forward
02304,20300,20301,1000,Horizontal,Forward
02305,20301,20302,1000,Horizontal,Forward
