Id,FromAddress,ToAddress,Speed, Type,PermitDirection
00001,10101,10199,1000,Horizontal,Forward
00002,20416,10299,1000,Horizontal,Forward
00003,10299,10401,1000,Horizontal,Forward
00004,10299,10306,1000,Horizontal,Forward
00005,10306,20311,1000,Horizontal,Forward
00006,10321,10199,1000,Horizontal,Forward
00007,10401,10499,1000,Horizontal,Forward
00008,10499,10501,1000,Horizontal,Forward
00009,10499,10606,1000,Horizontal,Forward
00010,10501,10511,1000,Horizontal,Forward
00011,10606,20626,1000,Horizontal,Forward
00012,10511,10599,1000,Horizontal,Forward
00013,10621,10599,1000,Horizontal,Forward
00027,10599,10801,1000,Horizontal,Forward
00028,10801,10806,1000,Horizontal,Forward
00029,10806,10899,1000,Horizontal,Forward
00040,10899,12899,1000,Horizontal,Forward
00041,12136,12141,1000,Horizontal,Forward
00042,12141,12199,1000,Horizontal,Forward
00043,12199,10101,1000,Horizontal,Forward
00105,10806,10801,1000,Horizontal,Forward
00107,12199,12201,1000,Horizontal,Forward
00110,12201,10101,1000,Horizontal,Forward
00120,10199,20411,1000,Horizontal,Forward
00121,20411,20416,1000,Horizontal,Forward
00201,20311,20316,1000,Horizontal,Forward
00202,20316,10321,1000,Horizontal,Forward
00205,20626,20611,1000,Horizontal,Forward
00206,20611,20616,1000,Horizontal,Forward
00207,20616,20617,1000,Horizontal,Forward
00208,20617,10621,1000,Horizontal,Forward
00401,30101,30102,1000,Horizontal,Forward
00402,30102,30112,1000,Horizontal,Forward
00403,30103,30104,1000,Horizontal,Forward
00404,30104,30105,1000,Horizontal,Forward
00405,30105,12136,1000,Horizontal,Forward
00410,12899,30101,1000,Horizontal,Forward
00412,30112,30103,1000,Horizontal,Forward
